ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,TITLE,Summer Job Status,Summer Employer,Summer Title,Summer Arrange,Summer USA,Summer State,Summer Country,Summer Pay,S-Resources_1,S-Resources_2,S-Resources_3,S-Resources_4,S-Resources_7,S-Resources_8,S-Resources_5,S-Resources_6,S-Resources_6_TEXT,S-Skills_1,S-Skills_3,S-Skills_4,S-Skills_5,S-Skills_6,S-Skills_12,S-Skills_7,S-Skills_8,S-Skills_11,S-Skills_9,Current Job Status,Current Employer,Current Title,Current Arrangement,Current Country USA,Current Country,Current State,Current Pay,Current Source_1,Current Source_2,Current Source_3,Current Source_4,Current Source_7,Current Source_8,Current Source_5,Current Source_6,Current Source_6_TEXT,FC-Skills_1,FC-Skills_3,FC-Skills_4,FC-Skills_5,FC-Skills_6,FC-Skills_12,FC-Skills_7,FC-Skills_8,FC-Skills_11,FC-Skills_9,ROY Plan_6,ROY Plan_7,ROY Plan_4,ROY Plan_8,ROY Plan_9,ROY Plan_10,ROY Plan_5,ROY Plan_5_TEXT,FULL_TIME_STATUS,FULL_TIME_COMPANY,FULL_TIME_TITLE,FULL_TIME_ARRANGE,FULL_TIME_STATE,FULL_TIME_SALARY,FULL_TIME_HELP,Grad Acceptance,Accepted Schools,Grad Want Help?,LocationLatitude,LocationLongitude,LocationAccuracy
R_1Mq9CakVuBCzOtb,null,128.187.116.13,2023-09-26 12:06:19,2023-09-26 12:07:23,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,No,,,,,,Yes,No,,No,40.2584,-111.6591,-1
R_3PX0nUN9prlYsp6,null,128.187.116.1,2023-09-26 12:19:20,2023-09-26 12:20:36,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,,,,,,,,,,,40.2584,-111.6591,-1
R_1kTXLEQ1xigKTx7,null,128.187.116.21,2023-09-26 12:41:09,2023-09-26 12:43:16,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Costa Vida,Data and Insights Intern,In-Office,Yes,,Utah,17,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,Python,R,SQL,,,Secure a Full-time job offer for AFTER graduation,,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_2tL0tks4YoC44Tl,null,174.52.69.44,2023-09-26 14:31:05,2023-09-26 14:34:03,,,,,1,0,1,Yes,Domo,Intern,Hybrid,Yes,Utah,,20,LinkedIn,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,R,SQL,API,Yes,Domo,Intern,Hybrid,Yes,,Utah,20,LinkedIn,,,,,,"Personal Network (Family, Friends, etc.)",,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,Python,R,SQL,API,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,Become a TA/RA,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,No,,Yes,40.2584,-111.6591,-1
R_aVrTTW7CpNEO51v,null,128.187.116.29,2023-09-26 14:33:57,2023-09-26 14:38:17,,,,,1,0,1,Yes,Qualis Corporation,Data Collector,Hybrid,Yes,Utah,,21,LinkedIn,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,,,,,,,,,Yes,Joseph Price/Matthew Heiner,Research Assistant/Teacher Assistant,Hybrid,Yes,,Utah,14,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.","Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,Presenting,,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,Other (Please Specify),Acceptance into Graduate School,,,,,,,,Awaiting decision(s),,Yes,40.2584,-111.6591,-1
R_2YYz938Bnr49iV3,null,128.187.116.9,2023-09-26 15:00:10,2023-09-26 15:01:11,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,,,,,,,,No,,Yes,40.2584,-111.6591,-1
R_3kuMcFl7il96zPh,null,174.247.155.111,2023-09-26 15:14:52,2023-09-26 15:18:13,,,,,1,0,1,Yes,DaVita,Redwoods Summer Analyst,In-Office,Yes,Colorado,,25,,Handshake,Career Services,,Campus Clubs or Groups,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Formal Presentation of work/results,,R,,,Yes,Intermountain Health,Continuous Improvement Intern,In-Office,Yes,,Utah,0,,Handshake,,,Campus Clubs or Groups,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,,,,,Secure a Full-time job offer for AFTER graduation,,Prepare for Graduate School,,,,,Yes,DaVita,Redwoods Analyst,Hybrid,Colorado,70000,,No,,No,40.5153,-112.0316,-1
R_1mgTxJ32wDVdPn9,null,128.187.116.12,2023-09-26 08:57:43,2023-09-26 15:25:44,,,,,1,0,1,Yes,PACCAR,Credit Analyst Intern,In-Office,Yes,Washington,,25,,,,,,,"Personal Network (Family, Friends, etc.)",,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Formal Presentation of work/results,Python,,SQL,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,Become a TA/RA,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,Yes,BYU - Masters of Statistics,,40.2584,-111.6591,-1
R_vCwjiSFEm37ugYp,null,128.187.116.20,2023-09-26 19:50:54,2023-09-26 19:53:30,,,,,1,0,1,Yes,Novarad,Software Development Intern,Hybrid,Yes,Utah,,20,,Handshake,,,,,,,,,,,,,,,,,,Yes,BYU,statistician,Hybrid,Yes,,Utah,13,,,,Department Resources,,,,,,"Data Collection: Web-scraping, Date Entry, Surveys, etc.","Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Presenting,,,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,,,,,,,,No,,No,40.2584,-111.6591,-1
R_12lltuS18sTZ8D0,null,128.187.116.23,2023-09-27 08:53:01,2023-09-27 08:55:50,,,,,1,0,1,Yes,Adobe,Associate Technical Account Manager Intern,Hybrid,Yes,Utah,,31,LinkedIn,,,,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,Formal Presentation of work/results,,R,SQL,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (Please Specify),"I have a job as a Buisness Intelligence Analyst at Adobe in the summer...until then, moving to the Middle East to study Arabic",,,,,,,,,,,40.2584,-111.6591,-1
R_2di46KaaoGdyLj2,null,128.187.116.13,2023-09-27 09:04:42,2023-09-27 09:06:42,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,No,,,,,,Yes,No,,No,40.2584,-111.6591,-1
R_26kyclWPNRHVqFM,null,128.187.116.26,2023-09-27 09:04:43,2023-09-27 09:06:55,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Stats Department,Teaching assistant,In-Office,Yes,,Utah,14.5,,,,,,,,Other,BYU,"Data Collection: Web-scraping, Date Entry, Surveys, etc.",,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,R,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,Secure a Full-time job offer for AFTER graduation,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_XBrdetnBWXMuIO5,null,128.187.116.1,2023-09-27 09:04:43,2023-09-27 09:08:08,,,,,1,0,1,Yes,Solcius,Operations Analyst,In-Office,Yes,Utah,,19,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,,SQL,,Yes,Solcius,Operations Analyst,Hybrid,Yes,,Utah,19,,,,,,,"Personal Network (Family, Friends, etc.)",,,,,"Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,,,,,SQL,,,Secure a Full-time job offer for AFTER graduation,,,,,,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
R_vcRL1fcWhnnVj0J,null,128.187.116.9,2023-09-27 09:04:44,2023-09-27 09:11:35,,,,,1,0,1,Yes,BYU Broadcasting,Student Data Analyst,Hybrid,Yes,Utah,,15,,,,Department Resources,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,"Model Deployment: Docker, Flask, AWS, etc.",Formal Presentation of work/results,Python,R,SQL,,Yes,BYU Broadcasting,Student Data Analyst,In-Office,Yes,,Utah,15,,,,Department Resources,,,,,,,"Data Preparation: ETL Dataflows, Data wrangling/cleaning, Database mapping, etc.","Exploratory Data Analysis: Visualizations, Dashboards, Reports, etc.",,"Model Deployment: Docker, Flask, AWS, etc.",Presenting,Python,R,SQL,,,Secure a Full-time job offer for AFTER graduation,,Prepare for Graduate School,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,No,,Yes,40.2584,-111.6591,-1
R_1ImJ28HZMGaIk68,null,128.187.116.9,2023-09-27 10:00:03,2023-09-27 10:01:01,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Major-related Internship/Part-time job to work DURING&nbsp;the school year,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,,,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,,,,,,,,,,,40.2584,-111.6591,-1
R_8pnnPk9lfoBNv8d,null,128.187.116.21,2023-09-27 10:00:02,2023-09-27 10:02:24,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Byu,TA,In-Office,Yes,,Utah,14.25,,,,,,,,Other,BYU website,,,,"Model Building/Fitting: Regression, ANOVA, Machine Learning, etc.",,,,R,,,,,Secure a Major-related Internship/Part-time job for the upcoming SUMMER,Prepare for Graduate School,,,,,,,,,,,,No,,No,40.2584,-111.6591,-1
R_exO12ztUMoWZFpn,null,128.187.116.12,2023-09-27 10:00:13,2023-09-27 10:03:37,,,,,1,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secure a Full-time job offer for AFTER graduation,,,Become a TA/RA,"Extra Prep (Certifications, Personal Projects for a Portfolio, etc.)",,,No,,,,,,Yes,,,,40.2584,-111.6591,-1
